STN,YYYYMMDD,   TG,   TN,   TX
  330,20160101,   66,   28,   90
  330,20160102,   72,   52,   93
  330,20160103,   71,   46,   89
  330,20160104,   68,   47,   80
  330,20160105,   69,   54,   77
  330,20160106,   62,   48,   73
  330,20160107,   69,   57,   90
  330,20160108,   68,   48,   84
  330,20160109,   64,   52,   89
  330,20160110,   68,   51,   89
  330,20160111,   59,   41,   75
  330,20160112,   69,   53,   79
  330,20160113,   62,   37,   76
  330,20160114,   45,   22,   59
  330,20160115,   41,   15,   59
  330,20160116,   49,   14,   66
  330,20160117,   16,  -28,   48
  330,20160118,  -15,  -30,    8
  330,20160119,    2,  -59,   44
  330,20160120,   37,    1,   63
  330,20160121,    6,  -12,   29
  330,20160122,   29,    1,   82
  330,20160123,   77,   60,   99
  330,20160124,   82,   54,  110
  330,20160125,  103,   80,  135
  330,20160126,   87,   67,  104
  330,20160127,  103,   80,  112
  330,20160128,   69,   56,   88
  330,20160129,   89,   61,  101
  330,20160130,   74,   54,   94
  330,20160131,   77,   57,  111
  330,20160201,  101,   94,  109
  380,20160101,   60,   36,   87
  380,20160102,   74,   48,   95
  380,20160103,   66,   44,   88
  380,20160104,   63,   39,   76
  380,20160105,   67,   43,   80
  380,20160106,   64,   48,   78
  380,20160107,   60,   41,   81
  380,20160108,   43,   24,   79
  380,20160109,   58,   24,   81
  380,20160110,   68,   41,   91
  380,20160111,   55,   32,   78
  380,20160112,   56,   44,   75
  380,20160113,   43,   16,   56
  380,20160114,   29,   13,   49
  380,20160115,   17,    6,   22
  380,20160116,   18,   -1,   50
  380,20160117,  -12,  -43,    9
  380,20160118,  -36,  -54,   -4
  380,20160119,  -38,  -80,    4
  380,20160120,   -5,  -28,   10
  380,20160121,    4,  -23,   43
  380,20160122,   17,  -22,   45
  380,20160123,   59,   40,   78
  380,20160124,   68,   36,   85
  380,20160125,  108,   73,  162
  380,20160126,   96,   86,  108
  380,20160127,  100,   85,  110
  380,20160128,   57,   15,   97
  380,20160129,   68,   20,   91
  380,20160130,   62,   25,   89
  380,20160131,   70,   34,  116
  380,20160201,  108,   99,  116
